2021-11-25,不死的癌症「蛇缠腰」，专挑咱老去的爸妈下手！,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=2&sn=81375a487ec09ebc3e0734a1ed68fe3f&chksm=4903b7557e743e43b8a664083cf7ebded48922b8439c6d62fdecad4ef403ff71256373a1a1e1&scene=27#wechat_redirect,送份健康给爸妈，远离钻心痛。,,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd59G32yTzwtJQYFnnDR2ia4g6c3efADn4SahTI0kID1Ev9GU12VHRiax4MlWWKHUdqL4pG9ljm1BWIQ/0?wx_fmt=jpeg,,否,2,否,100001,523,481,0
2021-11-25,减肥也能放心吃的主食，秒杀低至9.9元,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=3&sn=890aed163b2657c8f5846e3028087b36&chksm=4903b7557e743e43ecba767922d473dafc2b17e1cd6c520fed867da009c554083bc590255d1d&scene=27#wechat_redirect,健康主食限时抢购中，快冲！,丁香家,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfx8qkRugF7BNQhjjv5RkFHKr1Rxm044eeyaoWZDCyrcHvWhGUhDeUYTQ/0?wx_fmt=jpeg,,否,3,否,41858,7,17,0
2021-11-25,只需一条毛巾，做1个动作就能保护膝盖，学起来！,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=4&sn=388ceefb42d231c1f43ea9f6a6e0aabf&chksm=4903b7557e743e4345d73d79c409a51d045949cd87e21c7de9e83f11cd6cfb01b9aaa944ea20&scene=27#wechat_redirect,不花钱就是香！！,丁香医生,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfxQ0m6O1NYiaR8eiatRnJccpYiaHBk28sBy5m2uJZhCrUcoOTje974trrvw/0?wx_fmt=jpeg,https://ask.dxy.com/index?um_chnnl=wxdbtp#/activity-share?activity_id=207,否,4,否,28415,34,64,0
2021-11-25,洗澡、运动后身上容易痒？可能是它惹的祸,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=5&sn=fdce9ae48525258d6892017b432fd394&chksm=4903b7557e743e435b119950bf923adf89893be43b08db385d3d15f1a88ed846948cead2281f&scene=27#wechat_redirect,健康百科，都是你想知道的。,健康百科,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfxRCy4hRP3hjjQtUkXqO1ul6ntuMBJnrHVdWsEDoic6m0ka0U4A9vfg5A/0?wx_fmt=jpeg,,是,5,否,57434,44,99,0
2021-11-25,看病老是遇到同一个医生是什么体验？,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=6&sn=2beac382a6707d9a8632a58ec045449c&chksm=4903b7557e743e43e253e28b09184cf6dedef12321a4ef6242e7f85479db0526038dd7d79f40&scene=27#wechat_redirect,几年下来他努力打拼成了院长，而我只是骨折的部位换了而已。,龙荒,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfxGY28BicALfia03s1Rc4omx2uTLfuUvdzLrKvVN2iaGiagPSCS0zCRfwyBQ/0?wx_fmt=jpeg,https://ask.dxy.com/index?um_chnnl=dy#/activity-share?activity_id=331,否,6,否,21668,34,107,0
2021-11-25,人类幼崽的学习能力到底有多强？,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=7&sn=957bf7fb24d9be687259401ee26e58e0&chksm=4903b7557e743e43e112123253920a07304458f4cafb9b9b6a170c141680ebb6b0747084b26a&scene=27#wechat_redirect,关于妈妈的真实故事,,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd52yBfdZbVn0AGpvX28KpNMu5A6250RjqKrl5KrC4Fqj9BoQJDBMap24jMRhge8kua5icHvFAP17hg/0?wx_fmt=jpeg,https://mama.dxy.com/client/topic/detail/3500359936876091314,否,7,否,30070,26,85,0
2021-11-25,接种HPV疫苗前，你要知道这5件事,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=8&sn=d15c71de18b42361f7b37073b2e24b09&chksm=4903b7557e743e43873c2525dbce571ab57cc2c99310f1d4cf8182f92fb020170d02afc98442&scene=27#wechat_redirect,妇科专家给你一份接种指南,,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd7iaa6icE0w5PZbnibXicYhuDpEzOL51ARJDDia0icM9wLOibeGz24biahk3S1k7KjhSiaMdwia9wcYVRNk39bg/0?wx_fmt=jpeg,https://ask.dxy.com/ama/index?um_chnnl=wz#/activity-share?activity_id=331,否,8,否,38344,43,60,0
2021-11-25,卧室里的皮带、拳头和羞辱,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596219&idx=1&sn=1f3c1cb555ff4ebd8965f14ae4e9566a&chksm=4903b7557e743e439086cced07a09549e8332c0c4107b7457714d2bb2b5995cdb9df61f0872f&scene=27#wechat_redirect,用敲门打断家暴。,塔盖、Chaos、jiu,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfxESd08P8ibsj7652ab9icgZbBJvqxWdI4DzeahTXyQGorzYK4ooFb7wKA/0?wx_fmt=jpeg,https://wechat.dxy.cn/lottery/mobile?sign=mhMMVXcal3p2GeAgmtX2G2PRWzdlfWE5&amp;id=2467&amp;idSign=DCHAT_PLACEHOLDER_LOTTERY_ID_2467_SIM&amp;simuid=DCHAT_PLACEHOLDER_2147483643&amp;userInfo=true,是,1,否,100001,4669,6949,0
2021-11-24,眼霜用不对，一年老3岁,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596197&idx=2&sn=a2ebc8a8c7594771b25a327af547c455&chksm=4903b74b7e743e5d97c906283b240f92b8f08f316685ec38b4d153582f3290c6ff99d8d4c66c&scene=27#wechat_redirect,一个人的年龄，写在眼睛里。,丁香家,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd4KzG5K70rb7T6od6KPfnfx5L7hYps2icPHXXNQicNfD7XyOe6hTB1FhE6ngSkj2sibGVEvtRaHBZ89A/0?wx_fmt=jpeg,,是,2,否,100001,60,113,0
2021-11-24,那些放完屁就把对象蒙在被子里的人，其心可诛！,http://mp.weixin.qq.com/s?__biz=MjA1ODMxMDQwMQ==&mid=2657596197&idx=3&sn=07620c4b1a09c85ef96654639dab554f&chksm=4903b74b7e743e5d1233516fbee3ad362db58b2fee0d74b9c98727043e68b9e7e0ee9795a662&scene=27#wechat_redirect,丁香医生微博，有点，意思,,http://mmbiz.qpic.cn/sz_mmbiz_jpg/Pvr3FasqXd59G32yTzwtJQYFnnDR2ia4g6585luprwnuictAldjrLDAibZ3GufAYVI5j0XKRg2try4LmJfEmgic7Pw/0?wx_fmt=jpeg,https://weibo.com/u/2212518065,否,3,否,72352,69,189,0
